redCorner,blueCorner,winner,event,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
Brendan Allen,Paul Craig,Brendan Allen,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,32 of 43,6 of 14,74%,42%,52 of 64,13 of 21,2 of 2,0 of 2,100%,0%,2,1
Michael Morales,Jake Matthews,Michael Morales,UFC Fight Night: Allen vs. Craig,Herb Dean,Decision - Unanimous,0,0,84 of 208,57 of 149,40%,38%,84 of 208,57 of 149,0 of 1,0 of 1,0%,0%,0,0
Chase Hooper,Jordan Leavitt,Chase Hooper,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,1 of 3,3 of 4,33%,75%,13 of 18,5 of 10,0 of 0,0 of 2,---,0%,1,0
Payton Talbott,Nick Aguirre,Payton Talbott,UFC Fight Night: Allen vs. Craig,Mark Smith,Submission,0,0,28 of 53,5 of 12,52%,41%,58 of 90,18 of 29,0 of 0,2 of 10,---,20%,1,0
Luana Pinheiro,Amanda Ribas,Amanda Ribas,UFC Fight Night: Allen vs. Craig,Chris Tognoni,KO/TKO,0,1,55 of 116,87 of 224,47%,38%,56 of 120,96 of 234,1 of 6,0 of 1,16%,0%,0,0
Uros Medic,Myktybek Orolbai,Myktybek Orolbai,UFC Fight Night: Allen vs. Craig,Mike Beltran,Submission,0,0,14 of 27,8 of 20,51%,40%,17 of 32,16 of 31,0 of 0,7 of 10,---,70%,0,1
Jonathan Pearce,Joanderson Brito,Joanderson Brito,UFC Fight Night: Allen vs. Craig,Herb Dean,Submission,0,0,14 of 16,8 of 20,87%,40%,81 of 96,33 of 47,1 of 4,1 of 1,25%,100%,0,1
Chad Anheliger,Jose Johnson,Jose Johnson,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Submission,0,0,26 of 71,63 of 108,36%,58%,47 of 103,141 of 198,4 of 8,1 of 2,50%,50%,0,1
Christian Leroy Duncan,Denis Tiuliulin,Christian Leroy Duncan,UFC Fight Night: Allen vs. Craig,Mike Beltran,KO/TKO,1,0,65 of 87,30 of 71,74%,42%,90 of 123,37 of 81,0 of 2,0 of 0,0%,---,0,0
Mick Parkin,Caio Machado,Mick Parkin,UFC Fight Night: Allen vs. Craig,Mark Smith,Decision - Unanimous,0,0,39 of 98,76 of 132,39%,57%,69 of 139,103 of 164,3 of 10,0 of 1,30%,0%,0,0
Jeka Saragih,Lucas Alexander,Jeka Saragih,UFC Fight Night: Allen vs. Craig,Herb Dean,KO/TKO,1,0,4 of 9,11 of 16,44%,68%,4 of 9,11 of 16,1 of 1,0 of 1,100%,0%,0,0
Lucie Pudilova,Ailin Perez,Ailin Perez,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,20 of 42,42 of 74,47%,56%,41 of 67,123 of 180,0 of 0,2 of 8,---,25%,1,0
Trey Ogden,Nikolas Motta,,UFC Fight Night: Allen vs. Craig,Mike Beltran,Overturned,0,0,58 of 83,14 of 80,69%,17%,96 of 128,16 of 82,3 of 16,0 of 0,18%,---,1,0
Charles Johnson,Rafael Estevam,Rafael Estevam,UFC Fight Night: Allen vs. Craig,Chris Tognoni,Decision - Unanimous,0,0,72 of 109,18 of 43,66%,41%,116 of 161,35 of 77,0 of 0,3 of 22,---,13%,0,1
Jiri Prochazka,Alex Pereira,Alex Pereira,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,0,1,30 of 53,38 of 61,56%,62%,44 of 70,49 of 72,1 of 3,0 of 0,33%,---,0,1
Sergei Pavlovich,Tom Aspinall,Tom Aspinall,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,KO/TKO,0,1,1 of 7,10 of 14,14%,71%,1 of 7,10 of 14,0 of 0,0 of 0,---,---,0,0
Jessica Andrade,Mackenzie Dern,Jessica Andrade,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,4,0,53 of 107,49 of 114,49%,42%,53 of 107,50 of 115,0 of 0,0 of 4,---,0%,0,0
Matt Frevola,Benoit Saint Denis,Benoit Saint Denis,UFC 295: Prochazka vs. Pereira,Mike Beltran,KO/TKO,0,1,5 of 9,6 of 11,55%,54%,7 of 12,10 of 15,2 of 2,0 of 0,100%,---,0,0
Diego Lopes,Pat Sabatini,Diego Lopes,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,1,0,13 of 18,7 of 12,72%,58%,13 of 18,10 of 16,0 of 1,0 of 2,0%,0%,0,0
Steve Erceg,Alessandro Costa,Steve Erceg,UFC 295: Prochazka vs. Pereira,Marc Goddard,Decision - Unanimous,0,0,74 of 125,54 of 97,59%,55%,104 of 162,85 of 129,1 of 8,1 of 6,12%,16%,1,0
Tabatha Ricci,Loopy Godinez,Loopy Godinez,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Split,0,0,84 of 224,98 of 221,37%,44%,91 of 232,101 of 225,0 of 6,0 of 1,0%,0%,0,0
Mateusz Rebecki,Roosevelt Roberts,Mateusz Rebecki,UFC 295: Prochazka vs. Pereira,Mike Beltran,Submission,0,0,10 of 16,2 of 7,62%,28%,28 of 38,6 of 12,2 of 2,0 of 0,100%,---,1,0
Nazim Sadykhov,Viacheslav Borshchev,,UFC 295: Prochazka vs. Pereira,Keith Peterson,Decision - Majority,1,0,91 of 207,143 of 241,43%,59%,109 of 228,144 of 242,4 of 7,0 of 0,57%,---,0,0
Jared Gordon,Mark Madsen,Jared Gordon,UFC 295: Prochazka vs. Pereira,Marc Goddard,KO/TKO,1,0,36 of 66,35 of 57,54%,61%,54 of 87,46 of 69,0 of 0,0 of 0,---,---,0,0
John Castaneda,Kyung Ho Kang,John Castaneda,UFC 295: Prochazka vs. Pereira,Dan Miragliotta,Decision - Unanimous,0,0,111 of 179,88 of 202,62%,43%,119 of 187,88 of 203,3 of 8,0 of 0,37%,---,0,0
Joshua Van,Kevin Borjas,Joshua Van,UFC 295: Prochazka vs. Pereira,Mike Beltran,Decision - Unanimous,0,0,156 of 300,75 of 197,52%,38%,165 of 311,78 of 200,2 of 4,0 of 3,50%,0%,0,0
Dennis Buzukja,Jamall Emmers,Jamall Emmers,UFC 295: Prochazka vs. Pereira,Keith Peterson,KO/TKO,0,1,3 of 7,14 of 20,42%,70%,3 of 7,14 of 20,0 of 0,0 of 0,---,---,0,0
Jailton Almeida,Derrick Lewis,Jailton Almeida,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,0,0,38 of 56,20 of 39,67%,51%,120 of 153,28 of 54,6 of 15,0 of 2,40%,0%,4,0
Gabriel Bonfim,Nicolas Dalby,Nicolas Dalby,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,KO/TKO,0,1,39 of 91,53 of 113,42%,46%,47 of 103,64 of 128,3 of 5,0 of 1,60%,0%,1,0
Rodrigo Nascimento,Don'Tale Mayes,Rodrigo Nascimento,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,Decision - Unanimous,0,0,70 of 154,79 of 159,45%,49%,91 of 180,105 of 190,0 of 3,0 of 1,0%,0%,0,0
Caio Borralho,Abus Magomedov,Caio Borralho,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,Decision - Unanimous,1,0,51 of 103,38 of 107,49%,35%,70 of 126,39 of 110,0 of 1,0 of 0,0%,---,0,0
Elves Brener,Kaynan Kruschewsky,Elves Brener,UFC Fight Night: Almeida vs. Lewis,Osiris Maia,KO/TKO,1,0,16 of 33,8 of 31,48%,25%,16 of 33,8 of 31,0 of 0,0 of 0,---,---,0,0
Rinat Fakhretdinov,Elizeu Zaleski dos Santos,,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Majority,1,0,87 of 186,75 of 152,46%,49%,109 of 216,115 of 211,1 of 9,0 of 1,11%,0%,0,1
Vitor Petrino,Modestas Bukauskas,Vitor Petrino,UFC Fight Night: Almeida vs. Lewis,Marc Goddard,KO/TKO,1,0,8 of 26,9 of 19,30%,47%,14 of 34,12 of 23,1 of 2,0 of 0,50%,---,0,0
Angela Hill,Denise Gomes,Angela Hill,UFC Fight Night: Almeida vs. Lewis,Fernando Portella,Decision - Unanimous,0,0,76 of 120,62 of 133,63%,46%,96 of 153,111 of 203,5 of 9,1 of 3,55%,33%,0,0
Eduarda Moura,Montserrat Conejo Ruiz,Eduarda Moura,UFC Fight Night: Almeida vs. Lewis,Joao Claudio Soares,KO/TKO,0,0,57 of 77,5 of 22,74%,22%,102 of 139,9 of 29,3 of 3,0 of 0,100%,---,0,0
Kaue Fernandes,Marc Diakiese,Marc Diakiese,UFC Fight Night: Almeida vs. Lewis,Jason Herzog,Decision - Split,0,0,23 of 42,13 of 32,54%,40%,67 of 92,65 of 92,1 of 1,3 of 8,100%,37%,0,0
Islam Makhachev,Alexander Volkanovski,Islam Makhachev,UFC 294: Makhachev vs. Volkanovski 2,Marc Goddard,KO/TKO,1,0,24 of 29,4 of 6,82%,66%,39 of 46,11 of 18,0 of 1,0 of 0,0%,---,0,0
Kamaru Usman,Khamzat Chimaev,Khamzat Chimaev,UFC 294: Makhachev vs. Volkanovski 2,Jason Herzog,Decision - Majority,0,0,36 of 66,38 of 70,54%,54%,58 of 92,107 of 143,0 of 1,4 of 12,0%,33%,0,1
Magomed Ankalaev,Johnny Walker,,UFC 294: Makhachev vs. Volkanovski 2,Daniel Movahedi,Could Not Continue,0,0,13 of 19,14 of 27,68%,51%,16 of 23,17 of 30,1 of 1,0 of 0,100%,---,0,0
Ikram Aliskerov,Warlley Alves,Ikram Aliskerov,UFC 294: Makhachev vs. Volkanovski 2,Lukasz Bosacki,KO/TKO,1,0,26 of 36,12 of 16,72%,75%,26 of 36,12 of 16,0 of 0,0 of 0,---,---,0,0
