winner,referee,method_of_victory,red_Knockdowns,blue_Knockdowns,red_sig_str,blue_sig_str,red_sig_str_percentage,blue_sig_str_percentage,red_total_strikes,blue_total_strikes,red_total_strikes_percentage,blue_total_strikes_percentage,red_takedowns,blue_takedowns,red_takedown_percentage,blue_takedown_percentage,red_subs_attempted,blue_subs_attempted
0,46,7,0,0,32,6,74,42,52,13,81,62,2,0,100,0,2,1
0,153,6,0,0,84,57,40,38,84,57,40,38,0,0,0,0,0,0
0,98,7,0,0,1,3,33,75,13,5,72,50,0,0,0,0,1,0
0,46,7,0,0,28,5,52,41,58,18,64,62,0,2,0,20,1,0
1,70,2,0,1,55,87,47,38,56,96,47,41,1,0,16,0,0,0
1,98,7,0,0,14,8,51,40,17,16,53,52,0,7,0,70,0,1
1,153,7,0,0,14,8,87,40,81,33,84,70,1,1,25,100,0,1
1,70,7,0,0,26,63,36,58,47,141,46,71,4,1,50,50,0,1
0,98,2,1,0,65,30,74,42,90,37,73,46,0,0,0,0,0,0
0,46,6,0,0,39,76,39,57,69,103,50,63,3,0,30,0,0,0
0,153,2,1,0,4,11,44,68,4,11,44,69,1,0,100,0,0,0
1,70,6,0,0,20,42,47,56,41,123,61,68,0,2,0,25,1,0
2,98,5,0,0,58,14,69,17,96,16,75,20,3,0,18,0,1,0
1,70,6,0,0,72,18,66,41,116,35,72,45,0,3,0,13,0,1
1,74,2,0,1,30,38,56,62,44,49,63,68,1,0,33,0,0,1
1,139,2,0,1,1,10,14,71,1,10,14,71,0,0,0,0,0,0
0,103,2,4,0,53,49,49,42,53,50,50,43,0,0,0,0,0,0
1,98,2,0,1,5,6,55,54,7,10,58,67,2,0,100,0,0,0
0,103,2,1,0,13,7,72,58,13,10,72,62,0,0,0,0,0,0
0,74,6,0,0,74,54,59,55,104,85,64,66,1,1,12,16,1,0
1,139,9,0,0,84,98,37,44,91,101,39,45,0,0,0,0,0,0
0,98,7,0,0,10,2,62,28,28,6,74,50,2,0,100,0,1,0
2,103,3,1,0,91,143,43,59,109,144,48,60,4,0,57,0,0,0
0,74,2,1,0,36,35,54,61,54,46,62,67,0,0,0,0,0,0
0,139,6,0,0,111,88,62,43,119,88,64,43,3,0,37,0,0,0
0,98,6,0,0,156,75,52,38,165,78,53,39,2,0,50,0,0,0
1,103,2,0,1,3,14,42,70,3,14,43,70,0,0,0,0,0,0
0,74,6,0,0,38,20,67,51,120,28,78,52,6,0,40,0,4,0
1,179,2,0,1,39,53,42,46,47,64,46,50,3,0,60,0,1,0
0,161,6,0,0,70,79,45,49,91,105,51,55,0,0,0,0,0,0
